"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"        Estimate","(X)","4.4%","6.6%","21.8%","25.8%","9.2%","18.7%","13.5%","88.9%","32.2%"
"Pinal County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","287,719","15,535","26,252","80,736","78,339","28,622","37,750","20,485","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.4%","9.1%","28.1%","27.2%","9.9%","13.1%","7.1%","85.5%","20.2%"
"    Males","","","","","","","","","",""
"        Estimate","149,331","10,539","14,766","43,880","37,472","12,872","18,362","11,440","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.1%","9.9%","29.4%","25.1%","8.6%","12.3%","7.7%","83.1%","20.0%"
"    Females","","","","","","","","","",""
"        Estimate","138,388","4,996","11,486","36,856","40,867","15,750","19,388","9,045","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.6%","8.3%","26.6%","29.5%","11.4%","14.0%","6.5%","88.1%","20.5%"
"Yavapai County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","172,269","3,421","9,954","47,109","53,134","17,251","23,560","17,840","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.0%","5.8%","27.3%","30.8%","10.0%","13.7%","10.4%","92.2%","24.0%"
"    Males","","","","","","","","","",""
"        Estimate","82,947","1,682","5,619","22,304","24,760","8,512","11,565","8,505","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.0%","6.8%","26.9%","29.9%","10.3%","13.9%","10.3%","91.2%","24.2%"
"    Females","","","","","","","","","",""
"        Estimate","89,322","1,739","4,335","24,805","28,374","8,739","11,995","9,335","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.9%","27.8%","31.8%","9.8%","13.4%","10.5%","93.2%","23.9%"
"Yuma County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","129,735","19,211","14,229","34,499","34,185","7,588","13,281","6,742","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","14.8%","11.0%","26.6%","26.3%","5.8%","10.2%","5.2%","74.2%","15.4%"
"    Males","","","","","","","","","",""
"        Estimate","65,395","10,104","7,725","17,529","17,020","3,603","6,699","2,715","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","15.5%","11.8%","26.8%","26.0%","5.5%","10.2%","4.2%","72.7%","14.4%"
"    Females","","","","","","","","","",""
"        Estimate","64,340","9,107","6,504","16,970","17,165","3,985","6,582","4,027","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","14.2%","10.1%","26.4%","26.7%","6.2%","10.2%","6.3%","75.7%","16.5%"
"Benton County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","168,509","10,337","9,534","49,236","35,454","9,783","37,347","16,818","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.1%","5.7%","29.2%","21.0%","5.8%","22.2%","10.0%","88.2%","32.1%"
"    Males","","","","","","","","","",""
"        Estimate","82,077","5,417","4,685","23,269","16,058","4,142","19,356","9,150","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.6%","5.7%","28.4%","19.6%","5.0%","23.6%","11.1%","87.7%","34.7%"
"    Females","","","","","","","","","",""
"        Estimate","86,432","4,920","4,849","25,967","19,396","5,641","17,991","7,668","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.7%","5.6%","30.0%","22.4%","6.5%","20.8%","8.9%","88.7%","29.7%"
"Craighead County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","67,521","3,302","4,798","25,343","14,232","3,972","10,326","5,548","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.9%","7.1%","37.5%","21.1%","5.9%","15.3%","8.2%","88.0%","23.5%"
"    Males","","","","","","","","","",""
"        Estimate","32,271","1,120","2,295","14,531","6,186","1,171","4,359","2,609","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.5%","7.1%","45.0%","19.2%","3.6%","13.5%","8.1%","89.4%","21.6%"
"    Females","","","","","","","","","",""
"        Estimate","35,250","2,182","2,503","10,812","8,046","2,801","5,967","2,939","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.2%","7.1%","30.7%","22.8%","7.9%","16.9%","8.3%","86.7%","25.3%"
"Faulkner County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","74,676","1,809","4,581","23,926","17,971","4,832","12,759","8,798","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.4%","6.1%","32.0%","24.1%","6.5%","17.1%","11.8%","91.4%","28.9%"
"    Males","","","","","","","","","",""
"        Estimate","35,894","863","2,675","10,738","9,270","2,461","5,539","4,348","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.4%","7.5%","29.9%","25.8%","6.9%","15.4%","12.1%","90.1%","27.5%"
"    Females","","","","","","","","","",""
"        Estimate","38,782","946","1,906","13,188","8,701","2,371","7,220","4,450","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","4.9%","34.0%","22.4%","6.1%","18.6%","11.5%","92.6%","30.1%"
"Garland County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","69,426","1,872","6,475","20,535","21,376","6,467","8,647","4,054","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.7%","9.3%","29.6%","30.8%","9.3%","12.5%","5.8%","88.0%","18.3%"
"    Males","","","","","","","","","",""
"        Estimate","32,264","996","2,352","10,239","10,154","2,432","4,497","1,594","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.1%","7.3%","31.7%","31.5%","7.5%","13.9%","4.9%","89.6%","18.9%"
"    Females","","","","","","","","","",""
"        Estimate","37,162","876","4,123","10,296","11,222","4,035","4,150","2,460","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","11.1%","27.7%","30.2%","10.9%","11.2%","6.6%","86.5%","17.8%"
"Jefferson County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","46,788","3,251","5,724","16,087","9,308","3,724","5,788","2,906","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.9%","12.2%","34.4%","19.9%","8.0%","12.4%","6.2%","80.8%","18.6%"
"    Males","","","","","","","","","",""
"        Estimate","22,500","1,644","2,854","8,412","4,922","1,359","2,082","1,227","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.3%","12.7%","37.4%","21.9%","6.0%","9.3%","5.5%","80.0%","14.7%"
"    Females","","","","","","","","","",""
"        Estimate","24,288","1,607","2,870","7,675","4,386","2,365","3,706","1,679","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.6%","11.8%","31.6%","18.1%","9.7%","15.3%","6.9%","81.6%","22.2%"
"Lonoke County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","48,025","1,731","3,251","16,853","11,411","4,593","6,552","3,634","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.6%","6.8%","35.1%","23.8%","9.6%","13.6%","7.6%","89.6%","21.2%"
"    Males","","","","","","","","","",""
"        Estimate","23,202","867","1,498","8,526","5,589","2,083","2,895","1,744","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.7%","6.5%","36.7%","24.1%","9.0%","12.5%","7.5%","89.8%","20.0%"
"    Females","","","","","","","","","",""
"        Estimate","24,823","864","1,753","8,327","5,822","2,510","3,657","1,890","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.5%","7.1%","33.5%","23.5%","10.1%","14.7%","7.6%","89.5%","22.3%"
"Pulaski County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","265,108","7,293","15,988","68,957","64,706","17,796","55,640","34,728","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.8%","6.0%","26.0%","24.4%","6.7%","21.0%","13.1%","91.2%","34.1%"
"    Males","","","","","","","","","",""
"        Estimate","123,186","4,603","8,541","33,333","29,149","6,528","25,769","15,263","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.7%","6.9%","27.1%","23.7%","5.3%","20.9%","12.4%","89.3%","33.3%"
"    Females","","","","","","","","","",""
"        Estimate","141,922","2,690","7,447","35,624","35,557","11,268","29,871","19,465","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.9%","5.2%","25.1%","25.1%","7.9%","21.0%","13.7%","92.9%","34.8%"
"Saline County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","81,777","1,267","5,217","26,651","18,744","6,650","15,128","8,120","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.5%","6.4%","32.6%","22.9%","8.1%","18.5%","9.9%","92.1%","28.4%"
"    Males","","","","","","","","","",""
"        Estimate","39,629","449","3,208","13,883","9,067","2,507","7,543","2,972","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.1%","8.1%","35.0%","22.9%","6.3%","19.0%","7.5%","90.8%","26.5%"
"    Females","","","","","","","","","",""
"        Estimate","42,148","818","2,009","12,768","9,677","4,143","7,585","5,148","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.8%","30.3%","23.0%","9.8%","18.0%","12.2%","93.3%","30.2%"
"Sebastian County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","86,125","5,930","7,636","29,228","21,504","6,930","10,065","4,832","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.9%","8.9%","33.9%","25.0%","8.0%","11.7%","5.6%","84.2%","17.3%"
"    Males","","","","","","","","","",""
"        Estimate","40,736","3,551","3,912","14,230","10,349","1,896","4,584","2,214","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.7%","9.6%","34.9%","25.4%","4.7%","11.3%","5.4%","81.7%","16.7%"
"    Females","","","","","","","","","",""
"        Estimate","45,389","2,379","3,724","14,998","11,155","5,034","5,481","2,618","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.2%","8.2%","33.0%","24.6%","11.1%","12.1%","5.8%","86.6%","17.8%"
"Washington County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","136,698","9,908","9,994","35,733","29,657","6,768","24,851","19,787","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.2%","7.3%","26.1%","21.7%","5.0%","18.2%","14.5%","85.4%","32.7%"
"    Males","","","","","","","","","",""
"        Estimate","67,233","5,112","4,268","17,657","14,940","3,551","12,211","9,494","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.6%","6.3%","26.3%","22.2%","5.3%","18.2%","14.1%","86.0%","32.3%"
"    Females","","","","","","","","","",""
"        Estimate","69,465","4,796","5,726","18,076","14,717","3,217","12,640","10,293","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.9%","8.2%","26.0%","21.2%","4.6%","18.2%","14.8%","84.9%","33.0%"
"White County, Arkansas","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","51,306","1,624","4,532","20,224","10,466","3,430","5,510","5,520","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.2%","8.8%","39.4%","20.4%","6.7%","10.7%","10.8%","88.0%","21.5%"
"    Males","","","","","","","","","",""
"        Estimate","24,415","1,005","1,989","10,884","4,261","990","2,738","2,548","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.1%","8.1%","44.6%","17.5%","4.1%","11.2%","10.4%","87.7%","21.7%"
"    Females","","","","","","","","","",""
"        Estimate","26,891","619","2,543","9,340","6,205","2,440","2,772","2,972","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.3%","9.5%","34.7%","23.1%","9.1%","10.3%","11.1%","88.2%","21.4%"
"Alameda County, California","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","1,159,183","78,174","63,957","203,437","211,979","75,543","304,571","221,522","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.7%","5.5%","17.6%","18.3%","6.5%","26.3%","19.1%","87.7%","45.4%"
